MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
60,FV,64.0,8791,IR1,Lvl,Inside,Gtl,Somerst,Norm,1Fam,2Story,6,5,2003,2003,Gable,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,No,Rec,503,Unf,0,361,864,Ex,Y,SBrkr,864,864,1728,0,0,2,1,3,1,Gd,7,Typ,0,None,Attchd,2003.0,RFn,2,673,TA,TA,Y,216,56,0,0,0,0,0,5,2008,WD,Normal,207500
20,RL,68.0,8814,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,7,5,2006,2006,Gable,VinylSd,VinylSd,180.0,Gd,TA,PConc,Gd,TA,No,GLQ,1334,Unf,0,270,1604,Ex,Y,SBrkr,1604,0,1604,1,0,2,1,3,1,Gd,8,Typ,1,Gd,Attchd,2006.0,RFn,2,660,TA,TA,Y,123,110,0,0,0,0,0,3,2009,WD,Abnorml,220000
60,RL,80.0,12435,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,2Story,7,5,2001,2001,Gable,VinylSd,VinylSd,172.0,Gd,TA,PConc,Gd,TA,No,GLQ,361,Unf,0,602,963,Ex,Y,SBrkr,963,829,1792,0,0,2,1,3,1,Gd,7,Typ,1,TA,Attchd,2001.0,RFn,2,564,TA,TA,Y,0,96,0,245,0,0,0,5,2008,WD,Normal,231500
20,RM,70.0,12702,Reg,Lvl,Inside,Gtl,OldTown,Norm,1Fam,1Story,5,5,1956,1956,Gable,BrkFace,BrkFace,0.0,TA,TA,PConc,None,None,None,None,0,None,0,0,0,Gd,Y,FuseA,882,0,882,0,0,1,0,2,1,TA,4,Typ,0,None,Detchd,1956.0,Unf,1,308,TA,TA,Y,0,45,0,0,0,0,0,12,2008,WD,Normal,97000
80,RL,120.0,19296,Reg,Lvl,Corner,Gtl,NAmes,Artery,1Fam,SLvl,6,5,1962,1962,Gable,Wd Sdng,Wd Sdng,399.0,TA,TA,CBlock,TA,TA,Gd,Rec,672,ALQ,690,0,1362,TA,Y,SBrkr,1382,0,1382,1,0,1,0,3,1,TA,6,Typ,1,TA,Attchd,1991.0,Unf,2,884,TA,TA,Y,0,0,252,0,0,0,0,5,2009,WD,Normal,176000
60,RL,69.0,9588,IR1,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,2Story,8,5,2007,2007,Gable,CemntBd,CmentBd,270.0,Gd,TA,PConc,Ex,TA,No,Unf,0,Unf,0,1482,1482,Ex,Y,SBrkr,1482,1092,2574,0,0,2,1,3,1,Ex,10,Typ,1,Gd,BuiltIn,2007.0,Fin,3,868,TA,TA,Y,0,148,0,0,0,0,0,11,2007,New,Partial,276000
80,RL,88.0,8471,IR1,Lvl,Corner,Gtl,Sawyer,Norm,1Fam,SLvl,6,7,1977,1995,Gable,HdBoard,Plywood,46.0,TA,TA,CBlock,Gd,Gd,Av,ALQ,506,Unf,0,0,506,TA,Y,SBrkr,1212,0,1212,1,0,1,0,3,1,TA,6,Typ,1,TA,Attchd,1978.0,Unf,2,492,TA,TA,Y,292,12,0,0,0,0,0,7,2006,WD,Normal,151000
50,RM,50.0,5500,Reg,Lvl,Corner,Gtl,OldTown,Norm,1Fam,1.5Fin,5,7,1929,2001,Gable,Wd Sdng,Wd Sdng,0.0,TA,TA,BrkTil,TA,TA,No,LwQ,234,ALQ,692,0,926,TA,Y,SBrkr,926,0,1316,1,0,1,0,3,1,TA,6,Typ,0,None,Detchd,1974.0,Unf,2,484,TA,TA,Y,0,0,0,0,0,0,0,4,2010,WD,Normal,130000
30,RM,30.0,5232,IR3,Bnk,Inside,Gtl,OldTown,Artery,1Fam,1Story,5,5,1925,2004,Gable,Wd Sdng,Wd Sdng,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,0,Unf,0,680,680,Gd,N,FuseP,764,0,764,0,0,1,0,2,1,TA,4,Typ,0,None,Detchd,1965.0,Unf,2,504,TA,TA,N,0,0,0,0,0,0,0,6,2008,WD,Normal,73000
20,RL,78.0,12090,IR1,Lvl,Inside,Gtl,NWAmes,Norm,1Fam,1Story,6,6,1981,1981,Gable,MetalSd,MetalSd,210.0,TA,Gd,CBlock,Gd,TA,No,GLQ,588,LwQ,228,606,1422,TA,Y,SBrkr,1422,0,1422,0,0,2,0,3,1,Gd,7,Typ,1,TA,Attchd,1981.0,Fin,2,576,TA,TA,Y,276,0,0,0,0,0,0,6,2008,WD,Normal,175500
60,RL,70.0,11207,IR1,HLS,FR2,Gtl,Gilbert,Norm,1Fam,2Story,6,5,1997,1997,Gable,VinylSd,VinylSd,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,714,Unf,0,88,802,Gd,Y,SBrkr,802,709,1511,1,0,2,1,3,1,TA,8,Typ,1,TA,Attchd,1997.0,Fin,2,413,TA,TA,Y,95,75,0,0,0,0,0,6,2006,WD,Normal,185000
75,RL,60.0,8400,Reg,Bnk,Inside,Mod,SWISU,Norm,1Fam,2.5Fin,5,8,1939,1997,Gable,Wd Sdng,Wd Sdng,0.0,TA,TA,PConc,TA,TA,No,LwQ,378,Unf,0,342,720,Ex,Y,SBrkr,1052,720,2192,0,0,2,1,4,1,Gd,8,Typ,1,Gd,Detchd,1939.0,Unf,1,240,TA,TA,Y,262,24,0,0,0,0,0,7,2008,WD,Normal,179500
30,RM,71.0,6900,Reg,Lvl,Inside,Gtl,IDOTRR,Norm,1Fam,1Story,5,6,1940,1955,Gable,VinylSd,VinylSd,0.0,TA,TA,CBlock,TA,TA,No,ALQ,403,Rec,125,212,740,Ex,Y,SBrkr,778,0,778,0,0,1,0,2,1,TA,4,Typ,1,Gd,Detchd,1966.0,Fin,1,924,Ex,Ex,Y,0,25,0,0,0,0,0,2,2008,WD,Normal,120500
20,RL,69.0,7917,IR1,Lvl,Corner,Gtl,Edwards,Norm,1Fam,1Story,6,7,1976,1976,Hip,HdBoard,HdBoard,174.0,TA,Gd,CBlock,TA,Gd,No,BLQ,751,Unf,0,392,1143,TA,Y,SBrkr,1113,0,1113,1,0,1,1,3,1,TA,6,Typ,1,Fa,Attchd,1987.0,RFn,1,504,TA,Gd,Y,370,30,0,0,0,0,0,5,2007,WD,Normal,148000
60,FV,84.0,10728,Reg,Lvl,Inside,Gtl,Somerst,Norm,1Fam,2Story,8,5,2006,2006,Gable,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,Mn,Unf,0,Unf,0,1095,1095,Gd,Y,SBrkr,1095,844,1939,0,0,2,1,3,1,Gd,8,Typ,1,Gd,Attchd,2006.0,RFn,3,1053,TA,TA,Y,192,51,0,0,0,0,0,8,2006,New,Partial,266000
60,RL,92.0,11764,IR1,Lvl,CulDSac,Gtl,NoRidge,Norm,1Fam,2Story,8,7,1999,2007,Gable,VinylSd,VinylSd,348.0,Gd,TA,PConc,Gd,TA,No,GLQ,524,Unf,0,628,1152,Ex,Y,SBrkr,1164,1106,2270,0,0,2,1,4,1,Gd,9,Typ,1,Gd,Attchd,1999.0,Fin,3,671,TA,TA,Y,132,57,0,0,0,0,0,4,2010,WD,Normal,290000
20,RL,80.0,9600,Reg,Lvl,Inside,Gtl,NAmes,Feedr,1Fam,1Story,6,6,1958,1988,Hip,Wd Sdng,Wd Sdng,183.0,TA,TA,CBlock,TA,TA,No,Rec,620,LwQ,620,0,1240,Gd,Y,SBrkr,1632,0,1632,1,0,2,0,3,1,TA,6,Min1,1,Gd,Attchd,1958.0,RFn,1,338,TA,TA,Y,289,0,0,0,0,0,0,4,2009,WD,Normal,139000
20,RL,76.0,8314,Reg,Lvl,Corner,Gtl,Mitchel,Norm,1Fam,1Story,5,7,1982,1982,Gable,HdBoard,ImStucc,0.0,TA,TA,CBlock,TA,TA,Gd,ALQ,546,Unf,0,270,816,TA,Y,SBrkr,816,0,816,0,0,1,0,2,1,TA,5,Typ,0,None,Attchd,1982.0,Unf,1,264,TA,TA,Y,168,0,0,0,0,0,0,6,2007,WD,Normal,124500
50,RL,55.0,7264,Reg,Lvl,Inside,Gtl,BrkSide,Norm,1Fam,1.5Fin,7,7,1925,2007,Gable,Wd Sdng,Wd Sdng,0.0,Gd,Gd,BrkTil,TA,TA,No,Unf,0,Unf,0,952,952,Gd,N,SBrkr,952,596,1548,0,0,2,1,3,1,Ex,5,Typ,0,None,Detchd,1978.0,Unf,2,672,TA,TA,Y,74,0,0,0,144,0,0,10,2009,WD,Normal,205000
20,RL,129.0,9196,IR1,Lvl,Inside,Gtl,Mitchel,Norm,1Fam,1Story,7,5,2003,2003,Gable,VinylSd,VinylSd,0.0,Gd,TA,PConc,Ex,TA,No,Unf,0,Unf,0,1560,1560,Ex,Y,SBrkr,1560,0,1560,0,0,2,0,3,1,Gd,7,Typ,0,None,Attchd,2003.0,Fin,2,573,TA,TA,Y,100,150,0,0,0,0,0,4,2010,WD,Normal,201000
20,RL,140.0,19138,Reg,Lvl,Corner,Gtl,Gilbert,Norm,1Fam,1Story,4,5,1951,1951,Gable,VinylSd,VinylSd,0.0,TA,TA,CBlock,TA,TA,No,LwQ,120,Unf,0,744,864,Ex,Y,SBrkr,864,0,864,0,0,1,0,2,1,TA,4,Typ,0,None,Detchd,1951.0,Unf,2,400,TA,TA,Y,0,0,0,0,0,0,0,6,2010,WD,Normal,141000
20,RL,107.0,14450,Reg,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,1Story,9,5,2006,2007,Gable,CemntBd,CmentBd,315.0,Ex,TA,PConc,Ex,TA,Gd,Unf,0,Unf,0,2121,2121,Ex,Y,SBrkr,2121,0,2121,0,0,2,1,3,1,Ex,8,Typ,1,Ex,Attchd,2007.0,Fin,3,732,TA,TA,Y,124,98,0,0,142,0,0,5,2007,New,Partial,415298
60,RL,83.0,10005,Reg,Lvl,Inside,Gtl,ClearCr,Norm,1Fam,2Story,7,5,1977,1977,Hip,Plywood,Plywood,299.0,TA,TA,CBlock,Gd,TA,No,BLQ,392,Unf,0,768,1160,Ex,Y,SBrkr,1156,866,2022,0,0,2,1,4,1,TA,8,Typ,1,TA,Attchd,1977.0,Fin,2,505,TA,TA,Y,288,117,0,0,0,0,0,3,2008,WD,Normal,192000
60,RL,82.0,11287,Reg,Lvl,Inside,Gtl,SawyerW,Norm,1Fam,2Story,7,6,1989,1989,Gable,Plywood,Plywood,340.0,Gd,TA,CBlock,Gd,TA,Av,GLQ,421,Unf,0,386,807,Gd,Y,SBrkr,1175,807,1982,0,0,2,1,3,1,Gd,7,Typ,1,TA,Attchd,1989.0,Fin,2,575,TA,TA,Y,0,84,0,196,0,0,0,1,2007,WD,Normal,228500
20,FV,60.0,7200,Reg,Lvl,Inside,Gtl,Somerst,Norm,1Fam,1Story,6,5,2006,2006,Gable,VinylSd,VinylSd,68.0,Gd,TA,PConc,Gd,TA,No,GLQ,905,Unf,0,357,1262,Gd,Y,SBrkr,1262,0,1262,0,0,2,0,2,1,Gd,5,Typ,0,None,Attchd,2006.0,Fin,2,572,TA,TA,Y,0,120,0,0,0,0,0,5,2006,New,Partial,185000
120,RL,34.0,5063,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Twnhs,1Story,7,5,2007,2008,Gable,VinylSd,VinylSd,166.0,Gd,TA,PConc,Gd,TA,No,GLQ,904,Unf,0,410,1314,Ex,Y,SBrkr,1314,0,1314,1,0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2008.0,RFn,2,626,TA,TA,Y,172,62,0,0,0,0,0,4,2009,ConLw,Normal,207500
20,RL,74.0,9612,Reg,Lvl,Inside,Gtl,Somerst,Feedr,1Fam,1Story,8,5,2008,2009,Gable,VinylSd,VinylSd,72.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1468,1468,Ex,Y,SBrkr,1468,0,1468,0,0,2,0,3,1,Gd,6,Typ,1,Gd,Attchd,2008.0,Fin,3,898,TA,TA,Y,210,150,0,0,0,0,0,12,2009,New,Partial,244600
120,RL,50.0,8012,Reg,Lvl,Inside,Gtl,SawyerW,Norm,TwnhsE,1Story,6,5,1992,1992,Gable,Plywood,ImStucc,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,430,Unf,0,1145,1575,Gd,Y,SBrkr,1575,0,1575,1,0,2,0,2,1,Gd,5,Typ,0,None,Attchd,1992.0,RFn,2,529,TA,TA,Y,0,0,52,0,0,0,0,7,2007,WD,Normal,179200
160,FV,35.0,4251,IR1,Lvl,Inside,Gtl,Somerst,Norm,TwnhsE,2Story,7,5,2006,2007,Gable,MetalSd,MetalSd,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,625,625,Ex,Y,SBrkr,625,625,1250,0,0,2,1,2,1,Gd,5,Typ,0,None,Detchd,2006.0,RFn,2,528,TA,TA,Y,0,54,0,0,0,0,0,6,2007,New,Partial,164700
50,RL,77.0,9786,IR1,Bnk,Inside,Gtl,NAmes,Norm,1Fam,1.5Fin,6,7,1962,1981,Gable,Wd Sdng,Wd Sdng,0.0,TA,TA,CBlock,TA,TA,No,Rec,600,Unf,0,312,912,TA,Y,SBrkr,1085,649,1734,0,0,1,1,3,1,Gd,7,Typ,1,Gd,Attchd,1962.0,RFn,2,440,TA,TA,Y,0,0,0,0,128,0,0,6,2006,WD,Normal,159000
20,RL,69.0,8125,IR1,Lvl,Corner,Gtl,NAmes,Norm,1Fam,1Story,4,4,1971,1971,Gable,HdBoard,HdBoard,0.0,TA,TA,CBlock,TA,TA,No,BLQ,614,Unf,0,244,858,TA,Y,SBrkr,858,0,858,0,0,1,0,3,1,TA,5,Typ,0,None,None,1980.0,None,0,0,None,None,Y,0,0,0,0,0,0,0,6,2006,WD,Normal,88000
20,RL,69.0,9819,IR1,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,5,1967,1967,Gable,MetalSd,MetalSd,31.0,TA,Gd,CBlock,TA,TA,No,BLQ,450,Unf,0,432,882,TA,Y,SBrkr,900,0,900,0,0,1,0,3,1,TA,5,Typ,0,None,Detchd,1970.0,Unf,1,280,TA,TA,Y,0,0,0,0,0,0,0,2,2010,WD,Normal,122000
70,RL,60.0,8730,Reg,Lvl,Inside,Gtl,BrkSide,RRAn,1Fam,2Story,6,7,1915,2003,Gable,Wd Sdng,Wd Sdng,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,698,698,Ex,Y,FuseA,698,698,1396,0,0,1,0,3,1,TA,7,Typ,0,None,Detchd,2003.0,Unf,1,384,TA,TA,Y,0,0,0,0,259,0,0,7,2007,WD,Normal,153575
60,RL,120.0,15611,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,2Story,8,5,2006,2006,Gable,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1079,1079,Ex,Y,SBrkr,1079,840,1919,0,0,2,1,3,1,Gd,8,Typ,1,Gd,Attchd,2006.0,RFn,2,685,Gd,TA,Y,0,51,0,0,0,0,0,7,2006,New,Partial,233230
190,RL,55.0,5687,Reg,Bnk,Inside,Gtl,SWISU,Norm,2fmCon,2Story,5,6,1912,2000,Gable,VinylSd,VinylSd,0.0,TA,Fa,PConc,TA,Fa,No,Rec,210,Unf,0,570,780,Ex,N,SBrkr,936,780,1716,1,0,2,0,6,1,Fa,9,Typ,0,None,None,1980.0,None,0,0,None,None,N,0,184,0,0,0,0,0,3,2008,WD,Normal,135900
50,RL,60.0,11409,Reg,Lvl,Inside,Gtl,Edwards,Norm,1Fam,1.5Fin,5,4,1949,2008,Gable,Wd Sdng,Wd Sdng,0.0,TA,TA,CBlock,TA,TA,No,LwQ,292,Unf,0,476,768,Gd,Y,SBrkr,1148,568,1716,0,0,1,1,3,1,TA,8,Min2,1,Gd,Attchd,1949.0,Unf,1,281,TA,TA,Y,0,0,0,0,160,0,0,1,2009,WD,Normal,131000
60,RL,69.0,16659,IR1,Lvl,Corner,Gtl,NWAmes,PosA,1Fam,2Story,7,7,1977,1994,Gable,Plywood,Plywood,34.0,TA,TA,CBlock,TA,TA,No,ALQ,795,Unf,0,0,795,Fa,Y,SBrkr,1468,795,2263,1,0,2,1,3,1,Gd,9,Typ,1,TA,Attchd,1977.0,Fin,2,539,TA,TA,Y,0,250,0,0,0,0,0,3,2006,WD,Normal,235000
20,RL,80.0,9600,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,6,5,1953,1953,Hip,HdBoard,HdBoard,238.0,TA,TA,CBlock,TA,TA,No,GLQ,1285,Unf,0,131,1416,TA,Y,SBrkr,1644,0,1644,1,0,1,0,3,1,TA,7,Typ,2,Gd,Attchd,1953.0,Fin,2,418,TA,TA,Y,110,0,0,0,0,0,0,10,2009,WD,Normal,167000
80,RL,37.0,7937,IR1,Lvl,CulDSac,Gtl,Mitchel,Norm,1Fam,SLvl,6,6,1984,1984,Gable,HdBoard,HdBoard,0.0,TA,TA,CBlock,TA,TA,Av,GLQ,819,Unf,0,184,1003,TA,Y,SBrkr,1003,0,1003,1,0,1,0,3,1,TA,6,Typ,0,None,Detchd,1984.0,Unf,2,588,TA,TA,Y,120,0,0,0,0,0,0,3,2006,WD,Normal,142500
50,RM,75.0,13710,Reg,Lvl,Inside,Gtl,IDOTRR,Norm,1Fam,1.5Fin,5,5,1950,1950,Gable,Wd Sdng,Wd Sdng,0.0,TA,TA,CBlock,TA,TA,No,BLQ,420,Unf,0,490,910,TA,Y,FuseA,910,648,1558,0,0,1,1,4,1,TA,6,Typ,0,None,Attchd,1950.0,Unf,1,282,TA,TA,Y,289,0,0,0,0,0,0,6,2007,WD,Normal,152000
60,FV,66.0,7399,IR1,Lvl,Inside,Gtl,Somerst,Norm,1Fam,2Story,7,5,1997,1998,Hip,VinylSd,VinylSd,1600.0,Gd,TA,PConc,Gd,TA,No,BLQ,649,Unf,0,326,975,Ex,Y,SBrkr,975,975,1950,0,0,2,1,3,1,Gd,7,Typ,1,TA,Detchd,1997.0,RFn,2,576,TA,TA,Y,0,10,0,0,198,0,0,6,2007,WD,Normal,239000
60,RL,90.0,11700,Reg,Lvl,Inside,Gtl,NWAmes,Norm,1Fam,2Story,6,6,1968,1968,Mansard,HdBoard,AsphShn,365.0,Gd,TA,CBlock,TA,TA,No,ALQ,384,Rec,175,143,702,Gd,Y,SBrkr,1041,702,1743,0,1,1,2,3,1,TA,7,Typ,1,Gd,Attchd,1968.0,Unf,2,539,TA,TA,Y,224,0,0,0,0,0,0,6,2007,WD,Normal,175000
20,RL,80.0,14000,Reg,Lvl,Inside,Gtl,Crawfor,Norm,1Fam,1Story,6,8,1950,2004,Gable,HdBoard,HdBoard,0.0,TA,Gd,CBlock,TA,TA,No,Unf,0,Unf,0,1092,1092,Ex,Y,SBrkr,1152,0,1152,0,1,1,0,3,1,Gd,6,Typ,1,Gd,Attchd,1950.0,Unf,1,300,TA,TA,Y,0,36,0,0,0,0,0,8,2009,WD,Family,158500
190,RL,90.0,15750,Reg,Lvl,Corner,Gtl,Crawfor,Norm,2fmCon,1Story,5,5,1953,1953,Hip,MetalSd,MetalSd,56.0,TA,TA,CBlock,TA,TA,Mn,BLQ,841,Unf,0,324,1165,TA,Y,SBrkr,1336,0,1336,1,0,1,0,2,1,TA,5,Typ,2,Gd,Attchd,1953.0,Unf,1,375,TA,TA,Y,0,0,0,0,0,0,0,6,2006,WD,Normal,157000
60,RL,66.0,16226,IR3,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,2Story,8,5,1998,1999,Gable,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,281,Unf,0,747,1028,Ex,Y,SBrkr,1210,1242,2452,0,0,2,1,4,1,Gd,9,Typ,1,TA,BuiltIn,1998.0,Fin,2,683,TA,TA,Y,208,50,0,0,0,0,0,5,2007,WD,Normal,267000
20,RL,118.0,13704,IR1,Lvl,Corner,Gtl,CollgCr,Norm,1Fam,1Story,7,5,2001,2002,Gable,VinylSd,VinylSd,150.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1541,1541,Ex,Y,SBrkr,1541,0,1541,0,0,2,0,3,1,Gd,6,Typ,1,TA,Attchd,2001.0,RFn,3,843,TA,TA,Y,468,81,0,0,0,0,0,1,2006,WD,Normal,205000
20,RL,70.0,9800,Reg,Lvl,Corner,Gtl,CollgCr,Norm,1Fam,1Story,5,7,1972,1972,Gable,VinylSd,VinylSd,0.0,TA,TA,PConc,TA,TA,No,ALQ,894,Unf,0,0,894,TA,Y,SBrkr,894,0,894,1,0,1,0,3,1,TA,5,Typ,0,None,Attchd,1975.0,Unf,2,552,TA,TA,Y,256,0,0,0,0,0,0,7,2006,WD,Abnorml,149900
75,RM,87.0,18386,Reg,Lvl,Inside,Gtl,OldTown,Norm,1Fam,2.5Fin,7,9,1880,2002,Gable,CemntBd,CmentBd,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,1470,1470,Ex,Y,SBrkr,1675,1818,3493,0,0,3,0,3,1,Gd,10,Typ,1,Ex,Attchd,2003.0,Unf,3,870,TA,TA,Y,302,0,0,0,0,0,0,5,2008,WD,Normal,295000
20,RL,80.0,10386,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,8,5,2004,2005,Gable,CemntBd,CmentBd,246.0,Gd,TA,PConc,Gd,TA,No,GLQ,1464,Unf,0,536,2000,Ex,Y,SBrkr,2000,0,2000,1,0,2,0,3,1,Gd,8,Typ,0,None,Attchd,2004.0,Fin,3,888,TA,TA,Y,168,0,0,0,0,0,0,7,2007,WD,Normal,305900
60,RL,116.0,13474,Reg,Lvl,Inside,Gtl,SawyerW,Feedr,1Fam,2Story,7,5,1990,1991,Gable,HdBoard,Plywood,246.0,Gd,TA,CBlock,Gd,TA,No,ALQ,700,Unf,0,0,700,Gd,Y,SBrkr,1122,1121,2243,1,0,2,1,4,1,Gd,8,Typ,1,TA,Attchd,1990.0,RFn,3,746,TA,TA,Y,127,44,224,0,0,0,0,6,2007,WD,Normal,225000
50,RM,69.0,7920,IR1,Lvl,Inside,Gtl,IDOTRR,Artery,1Fam,1.5Fin,6,7,1920,1950,Gable,MetalSd,MetalSd,0.0,TA,Fa,CBlock,TA,TA,No,Unf,0,Unf,0,319,319,TA,Y,FuseA,1035,371,1406,0,0,1,0,3,1,Fa,6,Typ,0,None,None,1980.0,None,0,0,None,None,N,0,144,0,0,0,0,0,3,2008,WD,Normal,89500
30,RL,69.0,12342,IR1,Lvl,Inside,Gtl,Edwards,Norm,1Fam,1Story,4,5,1940,1950,Gable,VinylSd,VinylSd,0.0,TA,TA,CBlock,TA,TA,No,BLQ,262,Unf,0,599,861,Ex,Y,SBrkr,861,0,861,0,0,1,0,1,1,TA,4,Typ,0,None,Detchd,1961.0,Unf,2,539,TA,TA,Y,158,0,0,0,0,0,0,3,2009,WD,Normal,82500
20,RL,90.0,12378,IR1,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,1Story,9,5,2003,2004,Gable,VinylSd,VinylSd,0.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,1274,Unf,0,622,1896,Ex,Y,SBrkr,1944,0,1944,1,0,2,0,3,1,Ex,8,Typ,3,Ex,Attchd,2003.0,Fin,3,708,TA,TA,Y,208,175,0,0,0,0,0,11,2006,WD,Normal,360000
60,RL,69.0,7685,IR1,Lvl,Inside,Gtl,Gilbert,Norm,1Fam,2Story,6,5,1993,1994,Gable,HdBoard,HdBoard,112.0,TA,TA,PConc,Gd,TA,No,ALQ,518,Unf,0,179,697,Gd,Y,SBrkr,697,804,1501,0,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,1993.0,Fin,2,420,TA,TA,Y,190,63,0,0,0,0,0,5,2006,WD,Normal,165600
20,RL,50.0,8000,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,6,6,1948,2002,Gable,VinylSd,VinylSd,0.0,TA,Gd,CBlock,TA,TA,No,ALQ,680,Unf,0,292,972,Ex,Y,SBrkr,972,0,972,1,0,1,0,2,1,TA,5,Typ,1,Gd,Detchd,1948.0,Unf,1,240,TA,TA,Y,0,0,0,0,0,0,0,5,2009,WD,Normal,132000
190,RM,65.0,7800,Reg,Lvl,Inside,Gtl,OldTown,Artery,2fmCon,1.5Fin,5,7,1939,1950,Gable,MetalSd,MetalSd,0.0,TA,TA,CBlock,Gd,TA,Mn,Rec,507,Unf,0,286,793,TA,Y,SBrkr,793,325,1118,1,0,1,0,3,1,TA,5,Typ,1,Gd,Detchd,1939.0,Unf,2,410,TA,TA,Y,0,0,0,0,271,0,0,5,2006,WD,Normal,119900
70,RM,60.0,9600,Reg,Lvl,Inside,Gtl,OldTown,Norm,1Fam,2Story,7,7,1925,1990,Gable,Wd Sdng,Wd Sdng,0.0,TA,TA,BrkTil,TA,Gd,No,LwQ,16,Unf,0,712,728,Ex,Y,SBrkr,832,809,1641,0,1,1,1,3,1,Ex,6,Typ,1,Gd,Detchd,1925.0,Unf,2,546,Fa,TA,Y,0,0,234,0,0,0,0,8,2006,WD,Normal,178000
60,RL,71.0,7795,IR1,Lvl,Inside,Gtl,Gilbert,Norm,1Fam,2Story,7,5,2004,2005,Gable,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,425,Unf,0,291,716,Ex,Y,SBrkr,716,716,1432,1,0,2,1,3,1,Gd,6,Typ,1,Gd,Attchd,2004.0,Fin,2,432,TA,TA,Y,100,51,0,0,0,0,0,7,2009,WD,Normal,188500
60,RL,94.0,13005,IR1,Lvl,Corner,Gtl,NWAmes,Norm,1Fam,2Story,7,7,1980,1980,Gable,CemntBd,CmentBd,278.0,Gd,TA,CBlock,Gd,TA,No,GLQ,692,Unf,0,153,845,TA,Y,SBrkr,1153,1200,2353,1,0,2,1,4,1,Ex,10,Typ,1,TA,Attchd,1983.0,RFn,2,484,TA,TA,Y,288,195,0,0,0,0,0,8,2009,WD,Normal,260000
60,FV,75.0,9000,Reg,Lvl,Inside,Gtl,Somerst,Norm,1Fam,2Story,8,5,2006,2006,Gable,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1088,1088,Ex,Y,SBrkr,1088,871,1959,0,0,2,1,3,1,Gd,8,Typ,1,Gd,Attchd,2006.0,RFn,3,1025,TA,TA,Y,208,46,0,0,0,0,0,12,2007,WD,Normal,270000
60,RL,90.0,9900,Reg,Low,Inside,Mod,NoRidge,Norm,1Fam,2Story,7,5,1993,1993,Gable,HdBoard,HdBoard,256.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,987,Unf,0,360,1347,Ex,Y,SBrkr,1372,1274,2646,1,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,1993.0,RFn,3,656,TA,TA,Y,340,60,144,0,0,0,0,4,2009,WD,Normal,260000
