MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,MoSold,SaleType,SaleCondition,SalePrice,TotalSF,TotalBathrooms,TotalPorchSF,FinishedBsmtSF,FinishedBsmtRatio,Basement_to_TotalArea,Garage_to_LivingArea,YearsSinceRemodel,GarageAge,HasSecondFloor,HasBasement,HasGarage,HasFireplace,HasPool,HasPorch,IsRemodeled,Quality_x_Area,Quality_x_Condition,Baths_x_Bedrooms,GarageCars_x_Area,OverallQual_Squared
20,RL,69.0,10355,IR1,Lvl,Corner,Gtl,NAmes,Norm,1Fam,1Story,5,5,1967,1967,Gable,MetalSd,MetalSd,196.0,TA,TA,CBlock,TA,TA,No,BLQ,695,Unf,519,1214,TA,Y,SBrkr,1214,0,1214,0,2,0,3,1,TA,5,Typ,1,Fa,Attchd,1967.0,RFn,1,318,TA,TA,Y,0,111,0,0,0,7,WD,Normal,143000,2428,2.0,111,695,0.5724876441515651,0.5,0.26194398682042835,40,40,0,1,1,1,0,1,0,6070,25,6.0,1214,25
90,RL,82.0,11070,Reg,Lvl,Inside,Gtl,Mitchel,Norm,Duplex,1Story,7,5,1988,1989,Gable,VinylSd,VinylSd,70.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,1907,1907,Gd,Y,SBrkr,1959,0,1959,0,3,0,5,2,TA,9,Typ,0,,2Types,1989.0,Unf,3,766,TA,TA,Y,0,0,0,0,0,7,WD,Family,171000,3866,3.0,0,0,0.0,0.49327470253491984,0.39101582440020416,17,17,0,1,1,0,0,0,1,13713,35,15.0,5877,49
60,RL,73.0,9066,IR1,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,2Story,8,5,1999,2000,Gable,VinylSd,VinylSd,320.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,668,Unf,336,1004,Ex,Y,SBrkr,1004,848,1852,0,2,1,3,1,Gd,7,Typ,2,TA,Attchd,1999.0,Fin,3,660,TA,TA,Y,224,106,0,0,0,12,WD,Normal,230000,2856,2.5,106,668,0.6653386454183267,0.35154061624649857,0.3563714902807775,8,9,1,1,1,1,0,1,1,14816,40,7.5,5556,64
60,RL,65.0,15426,IR1,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,2Story,6,5,1997,1997,Gable,VinylSd,VinylSd,0.0,TA,TA,PConc,Gd,TA,No,GLQ,821,Unf,107,928,Ex,Y,SBrkr,928,836,1764,1,2,1,3,1,Gd,7,Typ,0,,Attchd,1997.0,RFn,2,470,TA,TA,Y,276,99,0,0,0,8,WD,Normal,231500,2692,3.5,99,821,0.884698275862069,0.3447251114413076,0.26643990929705214,12,12,1,1,1,0,0,1,0,10584,30,10.5,3528,36
20,RL,70.0,10500,Reg,Lvl,FR2,Gtl,NAmes,Norm,1Fam,1Story,4,5,1971,1971,Gable,HdBoard,HdBoard,0.0,TA,TA,CBlock,TA,TA,No,ALQ,432,Unf,432,864,TA,Y,SBrkr,864,0,864,0,1,0,3,1,TA,5,Typ,1,Po,,1980.0,,0,0,,,Y,0,0,0,0,0,4,ConLI,Normal,115000,1728,1.0,0,432,0.5,0.5,0.0,39,30,0,1,0,1,0,0,0,3456,20,3.0,0,16
20,RL,78.0,11645,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,7,5,2005,2005,Gable,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,1300,Unf,434,1734,Ex,Y,SBrkr,1734,0,1734,1,2,0,3,1,Gd,7,Typ,0,,Attchd,2005.0,Fin,2,660,TA,TA,Y,160,24,0,0,0,1,WD,Normal,260000,3468,3.0,24,1300,0.7497116493656286,0.5,0.3806228373702422,1,1,0,1,1,0,0,1,0,12138,35,9.0,3468,49
50,RL,71.0,8520,Reg,Lvl,Corner,Gtl,NAmes,Artery,1Fam,1.5Fin,5,4,1952,1952,Gable,BrkFace,Wd Sdng,0.0,TA,Fa,CBlock,TA,TA,No,Rec,507,Unf,403,910,Fa,Y,SBrkr,910,475,1385,0,2,0,4,1,TA,6,Typ,0,,Detchd,2000.0,Unf,2,720,TA,TA,Y,0,0,0,0,0,6,WD,Normal,166000,2295,2.0,0,507,0.5571428571428572,0.39651416122004357,0.51985559566787,58,10,1,1,1,0,0,0,0,6925,20,8.0,2770,25
20,RL,78.0,10335,IR1,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,7,5,1999,1999,Gable,VinylSd,VinylSd,183.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,679,Unf,811,1490,Ex,Y,SBrkr,1501,0,1501,1,2,0,3,1,Gd,6,Typ,0,,Attchd,1999.0,RFn,2,577,TA,TA,Y,144,29,0,0,0,6,WD,Normal,204000,2991,3.0,29,679,0.4557046979865772,0.4981611501170177,0.3844103930712858,10,10,0,1,1,0,0,1,0,10507,35,9.0,3002,49
90,RM,70.0,9100,Reg,Lvl,Inside,Gtl,Sawyer,RRAe,Duplex,1Story,5,5,1963,1963,Gable,HdBoard,HdBoard,336.0,TA,TA,CBlock,TA,TA,No,Rec,1332,Unf,396,1728,TA,Y,SBrkr,1728,0,1728,1,2,0,6,2,TA,10,Typ,0,,Detchd,1963.0,Unf,2,504,TA,TA,Y,0,0,0,0,0,11,ConLI,Abnorml,125000,3456,3.0,0,1332,0.7708333333333334,0.5,0.2916666666666667,43,43,0,1,1,0,0,0,0,8640,25,18.0,3456,25
160,RM,24.0,2522,Reg,Lvl,Inside,Gtl,Edwards,Norm,Twnhs,2Story,6,5,2004,2006,Gable,VinylSd,VinylSd,50.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,970,970,Ex,Y,SBrkr,970,739,1709,0,2,0,3,1,Gd,7,Maj1,0,,Detchd,2004.0,Unf,2,380,TA,TA,Y,0,40,0,0,0,4,WD,Normal,130000,2679,2.0,40,0,0.0,0.3620754012691303,0.22235225277940315,0,2,1,1,1,0,0,1,1,10254,30,6.0,3418,36
30,RM,51.0,6120,Reg,Lvl,Corner,Gtl,BrkSide,Norm,1Fam,1Story,5,7,1931,1993,Gable,Wd Sdng,Wd Sdng,0.0,TA,TA,BrkTil,TA,TA,No,BLQ,209,Unf,506,715,TA,Y,FuseA,875,0,875,1,1,0,2,1,TA,5,Typ,0,,Detchd,1931.0,Unf,1,180,Fa,TA,Y,48,0,0,0,0,11,WD,Normal,105000,1590,2.0,0,209,0.2923076923076923,0.449685534591195,0.2057142857142857,16,78,0,1,1,0,0,0,1,4375,35,4.0,875,25
60,RL,69.0,9505,IR1,Lvl,CulDSac,Gtl,Gilbert,Norm,1Fam,2Story,7,5,2001,2001,Gable,VinylSd,VinylSd,180.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,884,884,Ex,Y,SBrkr,884,1151,2035,0,2,1,3,1,Gd,8,Typ,1,Gd,BuiltIn,2001.0,Fin,2,434,TA,TA,Y,144,48,0,0,0,5,WD,Normal,222500,2919,2.5,48,0,0.0,0.302843439534087,0.21326781326781327,9,9,1,1,1,1,0,1,0,14245,35,7.5,4070,49
20,RL,63.0,7500,Reg,Lvl,Inside,Gtl,SawyerW,Norm,1Fam,1Story,7,5,2004,2005,Gable,VinylSd,VinylSd,120.0,TA,TA,PConc,Gd,TA,No,GLQ,680,Unf,400,1080,Ex,Y,SBrkr,1080,0,1080,1,1,0,3,1,Gd,6,Typ,0,,,1980.0,,0,0,,,Y,0,0,0,0,0,4,WD,Normal,141000,2160,2.0,0,680,0.6296296296296297,0.5,0.0,3,28,0,1,0,0,0,0,1,7560,35,6.0,0,49
50,RM,69.0,6240,Reg,Lvl,Inside,Gtl,BrkSide,Norm,1Fam,1.5Fin,5,4,1936,1950,Gable,MetalSd,MetalSd,0.0,TA,TA,BrkTil,Gd,TA,No,Unf,0,Unf,896,896,Gd,Y,FuseA,896,448,1344,0,1,0,3,1,TA,7,Typ,0,,Detchd,1936.0,Unf,1,240,Fa,TA,Y,200,114,0,0,0,4,WD,Normal,115000,2240,1.0,114,0,0.0,0.4,0.17857142857142858,56,70,1,1,1,0,0,1,1,6720,20,3.0,1344,25
20,RL,120.0,10356,Reg,Lvl,Corner,Gtl,CollgCr,Norm,1Fam,1Story,5,6,1975,1975,Gable,HdBoard,HdBoard,0.0,TA,TA,CBlock,TA,TA,Av,BLQ,716,Unf,253,969,TA,Y,SBrkr,969,0,969,0,1,1,3,1,TA,5,Typ,0,,Attchd,1975.0,Unf,2,440,TA,TA,Y,0,0,0,0,0,1,WD,Normal,122000,1938,1.5,0,716,0.7389060887512899,0.5,0.4540763673890609,32,32,0,1,1,0,0,0,0,4845,30,4.5,1938,25
20,RL,107.0,13891,Reg,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,1Story,8,5,2007,2008,Hip,VinylSd,VinylSd,436.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,1400,Unf,310,1710,Ex,Y,SBrkr,1710,0,1710,1,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2007.0,RFn,3,866,TA,TA,Y,0,102,0,0,0,1,New,Partial,372402,3420,3.0,102,1400,0.8187134502923976,0.5,0.5064327485380117,0,1,0,1,1,1,0,1,1,13680,40,6.0,5130,64
60,RL,69.0,14803,IR1,Lvl,CulDSac,Gtl,NWAmes,Norm,1Fam,2Story,6,5,1971,1971,Gable,HdBoard,HdBoard,252.0,TA,TA,CBlock,TA,TA,No,Rec,416,Unf,409,825,Gd,Y,SBrkr,1097,896,1993,0,2,1,4,1,TA,8,Typ,1,Gd,Attchd,1971.0,RFn,2,495,TA,TA,Y,0,66,0,0,0,6,WD,Normal,190000,2818,2.5,66,416,0.5042424242424243,0.2927608232789212,0.2483692925238334,35,35,1,1,1,1,0,1,0,11958,30,10.0,3986,36
20,RL,69.0,13500,Reg,Lvl,Inside,Gtl,ClearCr,Norm,1Fam,1Story,6,7,1960,1975,Flat,BrkFace,Plywood,0.0,TA,TA,CBlock,Gd,TA,Gd,BLQ,429,ALQ,93,1602,Gd,Y,SBrkr,1252,0,1252,1,1,0,1,1,TA,4,Typ,1,Gd,Attchd,1960.0,RFn,2,564,TA,TA,Y,409,0,0,0,0,3,WD,Normal,235000,2854,2.0,0,1509,0.9419475655430711,0.5613174491941135,0.4504792332268371,33,48,0,1,1,1,0,0,1,7512,42,2.0,2504,36
30,RM,84.0,11340,Reg,Lvl,Corner,Gtl,OldTown,Norm,1Fam,1Story,6,5,1923,1950,Gable,Wd Sdng,Wd Sdng,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,1200,1200,TA,Y,FuseA,1200,0,1200,0,1,0,4,1,TA,7,Typ,0,,Detchd,1923.0,Unf,1,312,Fa,Fa,Y,0,0,228,0,0,3,WD,Family,125000,2400,1.0,228,0,0.0,0.5,0.26,56,83,0,1,1,0,0,1,1,7200,30,4.0,1200,36
50,RL,60.0,9600,Reg,Lvl,Corner,Gtl,Edwards,Artery,1Fam,1.5Fin,6,5,1924,1950,Gable,Wd Sdng,Wd Sdng,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,572,572,Fa,N,FuseF,572,524,1096,0,1,0,2,1,TA,5,Typ,0,,,1980.0,,0,0,,,N,0,8,128,0,0,4,WD,Normal,79000,1668,1.0,136,0,0.0,0.34292565947242204,0.0,58,28,1,1,0,0,0,1,1,6576,30,2.0,0,36
20,RL,60.0,7200,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,7,1950,1950,Hip,Wd Sdng,Wd Sdng,0.0,TA,TA,CBlock,,,,,0,,0,0,TA,Y,FuseF,1040,0,1040,0,1,0,2,1,TA,5,Typ,0,,Detchd,1950.0,Unf,2,625,TA,TA,Y,0,0,0,0,0,6,WD,Normal,109500,1040,1.0,0,0,0.0,0.0,0.6009615384615384,56,56,0,0,1,0,0,0,0,5200,35,2.0,2080,25
60,RL,92.0,12003,Reg,Lvl,Corner,Gtl,Timber,Norm,1Fam,2Story,8,5,2009,2010,Gable,VinylSd,VinylSd,84.0,Gd,TA,PConc,Ex,TA,No,Unf,0,Unf,774,774,Ex,Y,SBrkr,774,1194,1968,0,2,1,4,1,Ex,8,Typ,1,Gd,BuiltIn,2009.0,Fin,3,680,TA,TA,Y,0,75,0,0,0,5,New,Partial,269500,2742,2.5,75,0,0.0,0.28227571115973743,0.34552845528455284,0,1,1,1,1,1,0,1,1,15744,40,10.0,5904,64
60,FV,100.0,12552,Reg,Lvl,Corner,Gtl,Somerst,Norm,1Fam,2Story,7,5,2004,2005,Gable,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,222,Unf,769,991,Ex,Y,SBrkr,991,956,1947,0,2,1,3,1,Gd,8,Typ,1,Gd,Attchd,2004.0,RFn,2,678,TA,TA,Y,0,136,0,0,0,5,WD,Normal,254900,2938,2.5,136,222,0.22401614530776992,0.33730428863172224,0.34822804314329736,5,6,1,1,1,1,0,1,1,13629,35,7.5,3894,49
60,RL,134.0,19378,IR1,HLS,Corner,Gtl,Gilbert,Norm,1Fam,2Story,7,5,2005,2006,Gable,VinylSd,VinylSd,456.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,57,Unf,1335,1392,Ex,Y,SBrkr,1392,1070,2462,1,2,1,4,1,Gd,9,Typ,1,Gd,Attchd,2006.0,RFn,2,576,TA,TA,Y,239,132,0,168,0,3,New,Partial,320000,3854,3.5,300,57,0.040948275862068964,0.3611831862999481,0.23395613322502032,0,0,1,1,1,1,0,1,1,17234,35,14.0,4924,49
20,RL,69.0,11120,IR1,Lvl,CulDSac,Gtl,Veenker,Norm,1Fam,1Story,6,6,1984,1984,Gable,Plywood,Plywood,0.0,TA,TA,PConc,Gd,TA,No,BLQ,660,Unf,572,1232,TA,Y,SBrkr,1232,0,1232,0,2,0,3,1,TA,6,Typ,0,,Attchd,1984.0,Unf,2,516,TA,TA,Y,0,0,0,0,0,6,WD,Normal,162500,2464,2.0,0,660,0.5357142857142857,0.5,0.41883116883116883,24,24,0,1,1,0,0,0,0,7392,36,6.0,2464,36
60,RL,110.0,13688,IR1,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,2Story,9,5,2003,2004,Gable,VinylSd,VinylSd,664.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1016,Unf,556,1572,Ex,Y,SBrkr,1572,1096,2668,1,2,1,3,1,Ex,10,Typ,2,Gd,BuiltIn,2003.0,Fin,3,726,TA,TA,Y,400,0,0,0,0,3,WD,Normal,412500,4240,3.5,0,1016,0.6463104325699746,0.37075471698113205,0.27211394302848574,4,5,1,1,1,1,0,0,1,24012,45,10.5,8004,81
20,RL,95.0,12182,Reg,Lvl,Corner,Gtl,NridgHt,Norm,1Fam,1Story,7,5,2005,2005,Gable,VinylSd,VinylSd,226.0,Gd,TA,PConc,Gd,TA,Mn,BLQ,1201,Unf,340,1541,Ex,Y,SBrkr,1541,0,1541,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2005.0,RFn,2,532,TA,TA,Y,0,70,0,0,0,5,New,Partial,220000,3082,2.0,70,1201,0.7793640493186242,0.5,0.34523036988968203,5,5,0,1,1,1,0,1,0,10787,35,6.0,3082,49
45,RL,55.0,5500,Reg,Lvl,Inside,Gtl,OldTown,Norm,1Fam,1.5Unf,4,6,1956,1956,Gable,MetalSd,MetalSd,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,882,882,Ex,Y,SBrkr,882,0,882,0,1,0,1,1,TA,4,Typ,0,,,1980.0,,0,0,,,Y,0,0,0,0,0,4,WD,Normal,103200,1764,1.0,0,0,0.0,0.5,0.0,51,27,0,1,0,0,0,0,0,3528,24,1.0,0,16
40,RM,40.0,5400,Reg,Lvl,Corner,Gtl,OldTown,Norm,1Fam,1Story,6,7,1926,2004,Gable,MetalSd,MetalSd,0.0,TA,Gd,BrkTil,TA,TA,Mn,LwQ,370,Unf,779,1149,Gd,Y,FuseA,1149,467,1616,0,2,0,3,1,Gd,5,Typ,0,,Detchd,1926.0,Unf,1,216,TA,TA,Y,0,0,183,0,0,10,WD,Normal,152000,2765,2.0,183,370,0.32201914708442125,0.4155515370705244,0.13366336633663367,3,81,1,1,1,0,0,1,1,9696,42,6.0,1616,36
190,RL,62.0,10106,Reg,Lvl,Inside,Gtl,Edwards,Norm,2fmCon,1.5Fin,5,7,1940,1999,Gable,Wd Sdng,Wd Sdng,0.0,TA,Gd,BrkTil,TA,TA,No,ALQ,351,Rec,112,644,Gd,Y,SBrkr,808,547,1355,1,2,0,4,2,TA,6,Typ,0,,,1980.0,,0,0,,,Y,140,0,0,0,0,9,WD,Normal,127500,1999,3.0,0,532,0.8260869565217391,0.32216108054027015,0.0,9,28,1,1,0,0,0,0,1,6775,35,12.0,0,25
20,RL,69.0,10708,IR1,Lvl,Inside,Gtl,ClearCr,Norm,1Fam,1Story,5,5,1955,1993,Hip,Wd Sdng,Wd Sdng,0.0,Gd,TA,CBlock,TA,TA,No,LwQ,379,BLQ,470,1617,Ex,Y,FuseA,1867,0,1867,1,1,0,2,1,TA,7,Typ,3,Gd,Attchd,1955.0,Fin,1,303,TA,TA,Y,476,0,0,0,142,11,COD,Normal,190000,3484,2.0,142,1147,0.7093382807668522,0.46412169919632607,0.16229244777718266,16,54,0,1,1,1,0,1,1,9335,25,4.0,1867,25
60,RL,86.0,10562,Reg,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,2Story,8,5,2007,2007,Gable,VinylSd,VinylSd,300.0,Gd,TA,PConc,Ex,TA,No,GLQ,1288,Unf,294,1582,Ex,Y,SBrkr,1610,551,2161,1,1,1,3,1,Ex,8,Typ,1,Gd,Attchd,2007.0,Fin,3,789,TA,TA,Y,178,120,0,0,0,11,New,Partial,325624,3743,2.5,120,1288,0.8141592920353983,0.42265562383115146,0.3651087459509486,0,0,1,1,1,1,0,1,0,17288,40,7.5,6483,64
60,RL,62.0,8244,IR1,Lvl,Inside,Gtl,Gilbert,Norm,1Fam,2Story,7,5,2004,2004,Gable,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,840,840,Ex,Y,SBrkr,840,880,1720,0,2,1,3,1,Gd,7,Typ,1,Gd,Attchd,2004.0,Fin,2,440,TA,TA,Y,100,48,0,0,0,5,WD,Normal,183500,2560,2.5,48,0,0.0,0.328125,0.2558139534883721,3,3,1,1,1,1,0,1,0,12040,35,7.5,3440,49
20,RL,69.0,16669,IR1,Lvl,Corner,Gtl,Timber,Norm,1Fam,1Story,8,6,1981,1981,Hip,Plywood,Plywood,653.0,Gd,TA,CBlock,Gd,TA,No,Unf,0,Unf,1686,1686,TA,Y,SBrkr,1707,0,1707,0,2,1,2,1,TA,6,Typ,1,TA,Attchd,1981.0,RFn,2,511,TA,TA,Y,574,64,0,0,0,1,WD,Normal,228000,3393,2.5,64,0,0.0,0.4969053934571176,0.29935559461042766,25,25,0,1,1,1,0,1,0,13656,48,5.0,3414,64
50,RM,69.0,12358,IR1,Lvl,Inside,Gtl,OldTown,Feedr,1Fam,1.5Fin,5,6,1941,1950,Gable,MetalSd,MetalSd,0.0,TA,TA,CBlock,TA,TA,No,Rec,360,Unf,360,720,TA,Y,SBrkr,854,0,1382,0,1,1,2,1,TA,7,Typ,0,,Detchd,1991.0,Unf,2,660,TA,TA,Y,237,0,0,0,0,5,WD,Normal,128500,1574,1.5,0,360,0.5,0.45743329097839897,0.47756874095513746,57,16,0,1,1,0,0,0,1,6910,30,3.0,2764,25
20,RL,141.0,31770,IR1,Lvl,Corner,Gtl,NAmes,Norm,1Fam,1Story,6,5,1960,1960,Hip,BrkFace,Plywood,112.0,TA,TA,CBlock,TA,Gd,Gd,BLQ,639,Unf,441,1080,Fa,Y,SBrkr,1656,0,1656,1,1,0,3,1,TA,7,Typ,2,Gd,Attchd,1960.0,Fin,2,528,TA,TA,P,210,62,0,0,0,5,WD,Normal,215000,2736,2.0,62,639,0.5916666666666667,0.39473684210526316,0.3188405797101449,50,50,0,1,1,1,0,1,0,9936,30,6.0,3312,36
160,RL,44.0,5306,IR1,Lvl,Inside,Gtl,StoneBr,Norm,TwnhsE,2Story,7,7,1987,1987,Gable,HdBoard,HdBoard,0.0,Gd,Gd,PConc,Gd,Gd,No,GLQ,495,Rec,354,1064,Gd,Y,SBrkr,1064,703,1767,1,2,0,2,1,Gd,5,Typ,1,TA,Attchd,1987.0,RFn,2,504,Gd,TA,Y,441,35,0,0,0,6,WD,Normal,239000,2831,3.0,35,710,0.6672932330827067,0.37583892617449666,0.28522920203735147,19,19,1,1,1,1,0,1,0,12369,49,6.0,3534,49
20,RL,80.0,10197,IR1,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,6,5,1961,1961,Gable,WdShing,Wd Shng,491.0,TA,TA,CBlock,TA,TA,No,ALQ,288,Rec,700,1362,TA,Y,SBrkr,1362,0,1362,1,1,1,3,1,TA,6,Typ,1,TA,Attchd,1961.0,Unf,2,504,TA,TA,Y,0,20,0,0,0,6,COD,Normal,163000,2724,2.5,20,662,0.48604992657856094,0.5,0.3700440528634361,47,47,0,1,1,1,0,1,0,8172,30,7.5,2724,36
20,RL,47.0,12416,IR1,Lvl,Inside,Gtl,Timber,Norm,1Fam,1Story,6,5,1986,1986,Gable,VinylSd,Plywood,132.0,TA,TA,CBlock,Gd,Fa,No,ALQ,1398,LwQ,0,1606,TA,Y,SBrkr,1651,0,1651,1,2,0,3,1,TA,7,Min2,1,TA,Attchd,1986.0,Fin,2,616,TA,TA,Y,192,0,0,0,0,11,WD,Normal,184000,3257,3.0,0,1606,1.0,0.4930918022720295,0.37310720775287703,22,22,0,1,1,1,0,0,0,9906,30,9.0,3302,36
20,RL,84.0,12615,Reg,Lvl,Corner,Gtl,Edwards,Norm,1Fam,1Story,6,7,1950,2001,Gable,WdShing,Wd Shng,0.0,TA,TA,CBlock,TA,Gd,Av,ALQ,477,Unf,725,1202,TA,Y,SBrkr,2158,0,2158,1,2,0,4,1,Gd,7,Typ,1,Gd,Attchd,1950.0,Unf,2,576,TA,TA,Y,0,29,39,0,0,6,WD,Normal,243000,3360,3.0,68,477,0.3968386023294509,0.35773809523809524,0.2669138090824838,6,57,0,1,1,1,0,1,1,12948,42,12.0,4316,36
60,RL,97.0,10029,IR1,Lvl,Corner,Gtl,ClearCr,Norm,1Fam,2Story,6,5,1988,1989,Gable,Plywood,Plywood,268.0,Gd,TA,PConc,Gd,TA,No,GLQ,831,Unf,320,1151,TA,Y,SBrkr,1164,896,2060,0,2,1,4,1,TA,8,Typ,1,TA,Attchd,1988.0,Unf,2,521,TA,TA,Y,0,228,0,0,192,9,WD,Normal,211000,3211,3.0,420,831,0.7219808861859253,0.35845530987231394,0.2529126213592233,18,19,1,1,1,1,0,1,1,12360,30,12.0,4120,36
50,RL,69.0,13650,Reg,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1.5Fin,5,5,1958,1958,Gable,MetalSd,MetalSd,0.0,Gd,Gd,CBlock,TA,TA,No,ALQ,57,BLQ,554,1052,Ex,Y,SBrkr,1252,668,1920,1,2,0,4,1,Gd,8,Typ,1,Gd,Attchd,1958.0,Unf,2,451,TA,TA,Y,0,0,0,0,0,7,WD,Normal,172500,2972,3.0,0,498,0.47338403041825095,0.35397039030955585,0.23489583333333333,48,48,1,1,1,1,0,0,0,9600,25,12.0,3840,25
30,RM,60.0,8520,Reg,Lvl,Inside,Gtl,OldTown,Norm,1Fam,1Story,5,6,1923,2006,Gable,Wd Sdng,Wd Sdng,0.0,Gd,TA,CBlock,TA,TA,No,Unf,0,Unf,968,968,TA,Y,SBrkr,968,0,968,0,1,0,2,1,TA,5,Typ,0,,Detchd,1935.0,Unf,2,480,Fa,TA,N,0,0,184,0,0,7,WD,Normal,100000,1936,1.0,184,0,0.0,0.5,0.49586776859504134,1,72,0,1,1,0,0,1,1,4840,30,2.0,1936,25
160,FV,69.0,2117,Reg,Lvl,Inside,Gtl,Somerst,Norm,Twnhs,2Story,6,5,2000,2000,Gable,MetalSd,MetalSd,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,436,Unf,320,756,Ex,Y,SBrkr,769,756,1525,0,2,1,3,1,Gd,5,Typ,1,TA,Detchd,2000.0,Unf,2,440,TA,TA,Y,0,0,0,0,0,6,WD,Normal,177000,2281,2.5,0,436,0.5767195767195767,0.3314335817623849,0.28852459016393445,7,7,1,1,1,1,0,0,0,9150,30,7.5,3050,36
70,RL,54.0,7588,Reg,Lvl,Inside,Gtl,Crawfor,Norm,1Fam,2Story,7,6,1920,1950,Gable,Stucco,Stucco,0.0,TA,TA,BrkTil,Fa,TA,No,LwQ,352,Unf,441,793,Gd,Y,SBrkr,901,901,1802,0,1,1,4,1,TA,9,Typ,1,Gd,Detchd,1920.0,Unf,1,216,Fa,TA,Y,0,0,40,0,0,7,WD,Normal,200100,2595,1.5,40,352,0.44388398486759145,0.30558766859344894,0.11986681465038845,56,86,1,1,1,1,0,1,1,12614,42,6.0,1802,49
20,RL,60.0,9060,Reg,Lvl,Inside,Gtl,Edwards,Artery,1Fam,1Story,5,6,1957,2006,Hip,Wd Sdng,Wd Sdng,98.0,TA,TA,PConc,,,,,0,,0,0,Ex,Y,SBrkr,1340,0,1340,0,1,0,3,1,TA,7,Typ,1,Gd,Attchd,1957.0,RFn,1,252,TA,TA,Y,116,0,0,180,0,6,WD,Normal,120000,1340,1.0,180,0,0.0,0.0,0.1880597014925373,1,50,0,0,1,1,0,1,1,6700,30,3.0,1340,25
50,RM,63.0,11426,Reg,Lvl,Inside,Gtl,OldTown,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,VinylSd,VinylSd,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,1362,1362,Ex,Y,SBrkr,1362,720,2082,0,2,1,3,1,Gd,6,Mod,0,,Detchd,2003.0,Unf,2,484,TA,TA,N,280,238,0,0,0,6,WD,Normal,200000,3444,2.5,238,0,0.0,0.39547038327526135,0.23246878001921228,5,5,1,1,1,0,0,1,0,14574,35,7.5,4164,49
50,RL,92.0,7438,IR1,Lvl,Inside,Gtl,BrkSide,RRAn,1Fam,1.5Fin,5,8,1908,1991,Gable,AsbShng,Plywood,0.0,TA,TA,PConc,Fa,TA,No,Unf,0,Unf,504,504,Gd,Y,SBrkr,936,316,1252,0,1,0,3,1,TA,5,Typ,0,,Attchd,1986.0,Unf,2,576,TA,TA,Y,104,0,0,0,0,6,WD,Normal,127000,1756,1.0,0,0,0.0,0.2870159453302961,0.46006389776357826,15,20,1,1,1,0,0,0,1,6260,40,3.0,2504,25
